SS-1 Robot Pose 
ID   x        y      
206 -26.5298 -25.5576 
207 -26.4854 -25.5536 
208 -26.4419 -25.5497 
209 -26.3975 -25.5458 
210 -26.3538 -25.5419 
211 -26.3095 -25.5382 
212 -26.2656 -25.5345 
213 -26.2217 -25.5309 
214 -26.1779 -25.5273 
215 -26.1342 -25.5238 
216 -26.0898 -25.5204 
217 -26.0458 -25.5170 
218 -26.0018 -25.5136 
219 -25.9578 -25.5104 
220 -25.9141 -25.5071 
221 -25.8704 -25.5040 
222 -25.8263 -25.5008 
223 -25.7839 -25.4978 
224 -25.7404 -25.4948 
225 -25.6948 -25.4919 
226 -25.6500 -25.4890 
227 -25.6056 -25.4862 
228 -25.5616 -25.4835 
229 -25.5175 -25.4808 
230 -25.4737 -25.4781 
231 -25.4300 -25.4755 
232 -25.3853 -25.4729 
233 -25.3413 -25.4705 
234 -25.2979 -25.4682 
235 -25.2553 -25.4660 
236 -25.2109 -25.4638 
237 -25.1650 -25.4616 
238 -25.1209 -25.4595 
239 -25.0773 -25.4576 
240 -25.0334 -25.4557 
241 -24.9891 -25.4538 
242 -24.9452 -25.4520 
243 -24.9006 -25.4503 
244 -24.8566 -25.4487 
245 -24.8124 -25.4471 
246 -24.7689 -25.4456 
247 -24.7249 -25.4441 
248 -24.6809 -25.4427 
249 -24.6382 -25.4413 
250 -24.5940 -25.4399 
251 -24.5484 -25.4385 
252 -24.5042 -25.4372 
253 -24.4601 -25.4359 
254 -24.4163 -25.4347 
255 -24.3732 -25.4335 
256 -24.3290 -25.4323 
257 -24.2850 -25.4312 
258 -24.2412 -25.4300 
259 -24.1960 -25.4289 
260 -24.1513 -25.4278 
261 -24.1072 -25.4267 
262 -24.0632 -25.4256 
263 -24.0191 -25.4245 
264 -23.9751 -25.4235 
265 -23.9320 -25.4225 
266 -23.8876 -25.4214 
267 -23.8436 -25.4204 
268 -23.7993 -25.4194 
269 -23.7547 -25.4184 
270 -23.7110 -25.4174 
271 -23.6686 -25.4164 
272 -23.6239 -25.4154 
273 -23.5804 -25.4145 
274 -23.5359 -25.4135 
275 -23.4906 -25.4125 
276 -23.4474 -25.4116 
277 -23.4029 -25.4106 
278 -23.3585 -25.4097 
279 -23.3144 -25.4088 
280 -23.2706 -25.4078 
281 -23.2264 -25.4069 
282 -23.1825 -25.4060 
283 -23.1396 -25.4051 
284 -23.0954 -25.4043 
285 -23.0505 -25.4034 
286 -23.0062 -25.4028 
287 -22.9642 -25.4024 
288 -22.9191 -25.4020 
289 -22.8747 -25.4017 
290 -22.8305 -25.4013 
291 -22.7863 -25.4010 
292 -22.7429 -25.4007 
293 -22.7006 -25.4004 
294 -22.6561 -25.4001 
295 -22.6108 -25.3998 
296 -22.5672 -25.3996 
297 -22.5228 -25.3993 
298 -22.4789 -25.3990 
299 -22.4364 -25.3987 
300 -22.3913 -25.3984 
301 -22.3470 -25.3982 
302 -22.3039 -25.3979 
303 -22.2594 -25.3976 
304 -22.2153 -25.3974 
305 -22.1714 -25.3971 
306 -22.1276 -25.3969 
307 -22.0851 -25.3966 
308 -22.0403 -25.3964 
309 -21.9963 -25.3961 
310 -21.9522 -25.3959 
311 -21.9089 -25.3956 
312 -21.8646 -25.3954 
313 -21.8208 -25.3951 
314 -21.7769 -25.3949 
315 -21.7332 -25.3946 
316 -21.6893 -25.3944 
317 -21.6457 -25.3942 
318 -21.6017 -25.3939 
319 -21.5583 -25.3937 
320 -21.5142 -25.3935 
321 -21.4707 -25.3932 
322 -21.4267 -25.3930 
323 -21.3832 -25.3927 
324 -21.3392 -25.3925 
325 -21.2954 -25.3923 
326 -21.2517 -25.3920 
327 -21.2082 -25.3918 
328 -21.1643 -25.3916 
329 -21.1206 -25.3913 
330 -21.0770 -25.3911 
331 -21.0332 -25.3909 
332 -20.9896 -25.3906 
333 -20.9461 -25.3904 
334 -20.9023 -25.3902 
335 -20.8586 -25.3899 
336 -20.8151 -25.3897 
337 -20.7714 -25.3895 
338 -20.7277 -25.3892 
339 -20.6840 -25.3890 
340 -20.6403 -25.3888 
341 -20.5966 -25.3885 
342 -20.5529 -25.3883 
343 -20.5092 -25.3881 
344 -20.4655 -25.3879 
345 -20.4220 -25.3876 
346 -20.3780 -25.3874 
347 -20.3343 -25.3872 
348 -20.2906 -25.3869 
349 -20.2467 -25.3867 
350 -20.2030 -25.3865 
351 -20.1596 -25.3862 
352 -20.1155 -25.3860 
353 -20.0720 -25.3858 
354 -20.0280 -25.3855 
355 -19.9848 -25.3853 
356 -19.9403 -25.3851 
357 -19.8964 -25.3848 
358 -19.8530 -25.3846 
359 -19.8101 -25.3844 
360 -19.7651 -25.3842 
361 -19.7225 -25.3839 
362 -19.6775 -25.3837 
363 -19.6334 -25.3835 
364 -19.5900 -25.3832 
365 -19.5467 -25.3830 
366 -19.5017 -25.3828 
367 -19.4582 -25.3825 
368 -19.4157 -25.3823 
369 -19.3704 -25.3821 
370 -19.3262 -25.3818 
371 -19.2824 -25.3816 
372 -19.2385 -25.3814 
373 -19.1950 -25.3812 
374 -19.1506 -25.3809 
375 -19.1069 -25.3807 
376 -19.0627 -25.3805 
377 -19.0188 -25.3802 
378 -18.9748 -25.3800 
379 -18.9312 -25.3798 
380 -18.8878 -25.3795 
381 -18.8431 -25.3793 
